trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1358,False,"{'a': 0.3, 'e': 0.7121713137250463}",20,0,-101.20760443028304,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1359,False,"{'a': 0.3, 'e': 0.7111939753152784}",25,9,-34.089954554902796,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
1360,False,"{'a': 0.3, 'e': 0.7102164257115531}",20,1,-8.719160006770968,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
1361,False,"{'a': 0.3, 'e': 0.7092386658914193}",25,15,-10.260776950985726,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
1362,False,"{'a': 0.3, 'e': 0.7082606968326373}",20,0,1.8344278298885084,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1363,False,"{'a': 0.3, 'e': 0.7072825195131756}",25,13,-10.485162840367469,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1364,False,"{'a': 0.3, 'e': 0.7063041349112118}",20,0,-51.618446131730394,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
1365,False,"{'a': 0.3, 'e': 0.7053255440051301}",20,0,-17.3011783089254,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1366,False,"{'a': 0.3, 'e': 0.7043467477735218}",20,0,-66.50436515812162,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
1367,False,"{'a': 0.3, 'e': 0.7033677471951825}",25,0,-33.80367664779705,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
1368,False,"{'a': 0.3, 'e': 0.7023885432491132}",20,0,-26.50831950909313,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
1369,False,"{'a': 0.3, 'e': 0.7014091369145172}",25,8,-86.42727683007854,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
1370,False,"{'a': 0.3, 'e': 0.7004295291708014}",20,9,-6.309946017746071,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1371,False,"{'a': 0.3, 'e': 0.6994497209975729}",35,2,-153.4678973715699,"{0: 22, 1: 1, 2: 6, 3: 2, 4: 2}",1
1372,False,"{'a': 0.3, 'e': 0.6984697133746401}",25,0,-74.47065269652511,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
1373,False,"{'a': 0.3, 'e': 0.6974895072820104}",20,0,-136.6728015926862,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1374,False,"{'a': 0.3, 'e': 0.69650910369989}",25,14,-31.962349433188958,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
1375,False,"{'a': 0.3, 'e': 0.6955285036086822}",20,0,-149.13541170193403,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
1376,False,"{'a': 0.3, 'e': 0.6945477079889872}",25,14,-45.76908192290189,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
